1995-06-01,SPLITSYS  UNDER 16.5 BTU,8957
1995-06-01,SPLITSYS  16.5-21.9 BTUH,132964
1995-06-01,SPLITSYS  22.0-26.9 BTUH,409214
1995-06-01,SPLITSYS  27.0-32.9 BTUH,402098
1995-06-01,SPLITSYS  33.0-38.9 BTUH,435105
1995-06-01,SPLITSYS  39.0-43.9 BTUH,175256
1995-06-01,SPLITSYS  44.0-53.9 BTUH,195368
1995-06-01,SPLITSYS  54.0-64.9 BTUH,152699
1995-07-01,SPLSYSHP  UNDER 16.5 BTU,4069
1995-07-01,SPLSYSHP  16.5-21.9 BTUH,56240
1995-07-01,SPLSYSHP  22.0-26.9 BTUH,122771
1995-07-01,SPLSYSHP  27.0-32.9 BTUH,112940
1995-07-01,SPLSYSHP  33.0-38.9 BTUH,110099
1995-07-01,SPLSYSHP  39.0-43.9 BTUH,48526
1995-07-01,SPLSYSHP  44.0-53.9 BTUH,42729
1995-07-01,SPLSYSHP  54.0-64.9 BTUH,32487
1995-07-01,SPLITSYS  UNDER 16.5 BTU,10611
1995-07-01,SPLITSYS  16.5-21.9 BTUH,153922
1995-07-01,SPLITSYS  22.0-26.9 BTUH,486044
1995-07-01,SPLITSYS  27.0-32.9 BTUH,474478
1995-07-01,SPLITSYS  33.0-38.9 BTUH,517806
1995-07-01,SPLITSYS  39.0-43.9 BTUH,207829
1995-07-01,SPLITSYS  44.0-53.9 BTUH,235179
1995-07-01,SPLITSYS  54.0-64.9 BTUH,184273
1995-08-01,SPLSYSHP  UNDER 16.5 BTU,4563
1995-08-01,SPLSYSHP  16.5-21.9 BTUH,63017
1995-08-01,SPLSYSHP  22.0-26.9 BTUH,137430
1995-08-01,SPLSYSHP  27.0-32.9 BTUH,128057
1995-08-01,SPLSYSHP  33.0-38.9 BTUH,125050
1995-08-01,SPLSYSHP  39.0-43.9 BTUH,55046
1995-08-01,SPLSYSHP  44.0-53.9 BTUH,48318
1995-08-01,SPLSYSHP  54.0-64.9 BTUH,37345
1995-08-01,SPLITSYS  UNDER 16.5 BTU,11712
1995-08-01,SPLITSYS  16.5-21.9 BTUH,174278
1995-08-01,SPLITSYS  22.0-26.9 BTUH,540717
1995-08-01,SPLITSYS  27.0-32.9 BTUH,526990
1995-08-01,SPLITSYS  33.0-38.9 BTUH,579743
1995-08-01,SPLITSYS  39.0-43.9 BTUH,235439
1995-08-01,SPLITSYS  44.0-53.9 BTUH,268115
1995-08-01,SPLITSYS  54.0-64.9 BTUH,210175
1995-09-01,SPLSYSHP  UNDER 16.5 BTU,5234
1995-09-01,SPLSYSHP  16.5-21.9 BTUH,73090
1995-09-01,SPLSYSHP  22.0-26.9 BTUH,154496
1995-09-01,SPLSYSHP  27.0-32.9 BTUH,141439
1995-09-01,SPLSYSHP  33.0-38.9 BTUH,136950
1995-09-01,SPLSYSHP  39.0-43.9 BTUH,60438
1995-09-01,SPLSYSHP  44.0-53.9 BTUH,52710
1995-09-01,SPLSYSHP  54.0-64.9 BTUH,41213
1995-09-01,SPLITSYS  UNDER 16.5 BTU,13101
1995-09-01,SPLITSYS  16.5-21.9 BTUH,190298
1995-09-01,SPLITSYS  22.0-26.9 BTUH,585397
1995-09-01,SPLITSYS  27.0-32.9 BTUH,565347
1995-09-01,SPLITSYS  33.0-38.9 BTUH,624330
1995-09-01,SPLITSYS  39.0-43.9 BTUH,256265
1995-09-01,SPLITSYS  44.0-53.9 BTUH,295021
1995-09-01,SPLITSYS  54.0-64.9 BTUH,232611
1995-10-01,SPLSYSHP  UNDER 16.5 BTU,5869
1995-10-01,SPLSYSHP  16.5-21.9 BTUH,80659
1995-10-01,SPLSYSHP  22.0-26.9 BTUH,170677
1995-10-01,SPLSYSHP  27.0-32.9 BTUH,156491
